model,acc,precision,recall,F1,epochs,seed
patience dynamic 30,0.6853146853146853,0.6787878787878787,0.6332101806239737,0.6329778132664119,643,39345092
patience dynamic 30,0.6993006993006993,0.6916114227434982,0.6542487684729064,0.6574182405705054,171,41227216
patience dynamic 30,0.6923076923076923,0.6838006230529594,0.645320197044335,0.6474675033617212,196,77827638
patience dynamic 30,0.6993006993006993,0.6916114227434982,0.6542487684729064,0.6574182405705054,251,90801586
patience dynamic 30,0.6853146853146853,0.668953488372093,0.6491174055829229,0.6524064171122994,311,13561597
patience dynamic 30,0.6783216783216783,0.6652388369678088,0.6306444991789819,0.6314432989690721,251,85329037
patience dynamic 30,0.6853146853146853,0.6757936507936508,0.6363916256157636,0.6373626373626373,163,36687537
patience dynamic 30,0.7132867132867133,0.7098419173890872,0.6689244663382594,0.6733522758928074,163,97226012
patience dynamic 30,0.6993006993006993,0.6916114227434982,0.6542487684729064,0.6574182405705054,147,83140807
patience dynamic 30,0.6853146853146853,0.6733809280979093,0.6395730706075533,0.6414842052482033,163,66306997
patience dynamic 30,0.6923076923076923,0.6905968468468469,0.6389573070607554,0.6388888888888888,221,39587039
patience dynamic 30,0.6853146853146853,0.6757936507936508,0.6363916256157636,0.6373626373626373,190,70291817
patience dynamic 30,0.6853146853146853,0.6787878787878787,0.6332101806239737,0.6329778132664119,371,89089901
patience dynamic 30,0.6783216783216783,0.6675661090124123,0.6274630541871921,0.6270975056689342,311,47338124
patience dynamic 30,0.6783216783216783,0.6675661090124123,0.6274630541871921,0.6270975056689342,311,10872248
patience dynamic 50,0.6853146853146853,0.6824596774193548,0.6300287356321839,0.6283139837116618,252,95822412
patience dynamic 50,0.6853146853146853,0.6733809280979093,0.6395730706075533,0.6414842052482033,191,24942603
patience dynamic 50,0.7132867132867133,0.7098419173890872,0.6689244663382594,0.6733522758928074,201,13356886
patience dynamic 50,0.6923076923076923,0.6838006230529594,0.645320197044335,0.6474675033617212,161,46913810
patience dynamic 50,0.6853146853146853,0.671474358974359,0.6427545155993432,0.6453568476164233,201,42868828
patience dynamic 50,0.6643356643356644,0.6466770508826584,0.6159688013136289,0.6154190945764231,301,39958838
patience dynamic 50,0.6853146853146853,0.6757936507936508,0.6363916256157636,0.6373626373626373,201,28728463
patience dynamic 50,0.7062937062937062,0.70236240913811,0.659995894909688,0.6634917077543703,151,23756669
patience dynamic 50,0.6853146853146853,0.6787878787878787,0.6332101806239737,0.6329778132664119,351,83197857
patience dynamic 50,0.6993006993006993,0.6871114299378288,0.6606116584564861,0.6645939017073037,149,21668732
patience dynamic 50,0.6713286713286714,0.6568783068783068,0.6217159277504105,0.6212454212454213,254,89254563
patience dynamic 50,0.6713286713286714,0.6568783068783068,0.6217159277504105,0.6212454212454213,352,66629388
patience dynamic 50,0.6783216783216783,0.6675661090124123,0.6274630541871921,0.6270975056689342,253,14265799
patience dynamic 50,0.6853146853146853,0.6757936507936508,0.6363916256157636,0.6373626373626373,253,13999315
patience dynamic 50,0.6853146853146853,0.6787878787878787,0.6332101806239737,0.6329778132664119,451,22575562
patience dynamic 50,0.6783216783216783,0.6652388369678088,0.6306444991789819,0.6314432989690721,251,39345092
patience dynamic 50,0.6923076923076923,0.6778642149929279,0.6548645320197044,0.6584889274858879,201,41227216
patience dynamic 50,0.6713286713286714,0.6551504334523202,0.6248973727422003,0.6255501699259012,256,77827638
patience dynamic 50,0.6853146853146853,0.6757936507936508,0.6363916256157636,0.6373626373626373,351,90801586
patience dynamic 50,0.6853146853146853,0.6757936507936508,0.6363916256157636,0.6373626373626373,313,13561597
